model,task,language,rnorm,ci_lo,ci_hi
llama3.1-8b,commonsense,fi,5.001110981279976,4.240918725560664,5.906951157887513
llama3.1-8b,commonsense,sw,4.237920569963219,3.5636429464344954,4.969959984931339
llama3.1-8b,code,sw,4.051135403180941,3.400302498722333,4.927558717507851
llama3.1-8b,commonsense,ko,3.230362405699351,2.717340160430028,3.7658557213377812
llama3.1-8b,commonsense,hi,3.17711059734675,2.790644981866827,3.572144930291148
llama3.1-8b,math,fi,2.7597499882059364,2.1963359706279006,3.492676352866316
llama3.1-8b,math,tr,2.7200954693504404,2.179319776957607,3.387173229923675
llama3.1-8b,math,hi,2.635604982958197,2.1602085577900723,3.230556745125684
llama3.1-8b,code,hi,2.5527747814750055,2.202832322656073,2.970164267881147
llama3.1-8b,commonsense,tr,2.5287234771847533,2.089431867013844,2.976364129281554
llama3.3-70b,code,hi,2.509966617496726,2.4225552892377147,2.6037911805791456
llama3.1-8b,code,tr,2.4860011085798996,2.056668217121781,2.999601160239792
llama3.1-8b,code,ar,2.484372390531467,2.055585138800658,2.9771189121161585
llama3.1-8b,code,ko,2.4726588553086626,2.0811234171496378,2.918887264603071
gpt-oss-20b,commonsense,sw,2.410986949471161,2.279966145262768,2.581462930979659
gpt-oss-20b,commonsense,es,2.2768433994760606,2.1751174966211098,2.3826616793768403
gpt-oss-20b,commonsense,hi,2.273850811512188,2.1654221996687495,2.3814485048100793
llama3.1-8b,commonsense,ar,2.236204011056924,1.8844544999992878,2.6371164866101084
llama3.3-70b,code,sw,2.22845490602532,2.161301923796852,2.3026506072188497
gpt-oss-20b,commonsense,ko,2.2054643766034436,2.1058628984529384,2.3157190078446575
gpt-oss-20b,commonsense,fi,2.1622111944735307,2.018893070093012,2.3503688159712945
gpt-oss-120b,commonsense,fi,2.1247272326010243,2.06157871549241,2.186618538667413
llama3.1-8b,code,fi,2.122105775564838,1.8331145716586552,2.478839773847464
gpt-oss-120b,commonsense,es,2.0880606848879646,2.0245638411328937,2.1509939697705716
gpt-oss-20b,commonsense,fr,2.069627368399531,1.9693906170523865,2.172430978435385
gpt-oss-120b,commonsense,zh,2.0089814472912497,1.9444021427618972,2.07099195679229
llama3.3-70b,code,de,1.994527858814478,1.9379836453072834,2.053091242613792
gpt-oss-20b,commonsense,de,1.9890350105379988,1.898171297519127,2.078249987799134
llama3.3-70b,code,fi,1.9870089378510274,1.9319221079174942,2.0478150851651384
gpt-oss-120b,commonsense,ko,1.960532474665808,1.9004511434997258,2.022186803699998
gpt-oss-120b,commonsense,de,1.9561638542260913,1.8973529368382491,2.0149728483809075
llama3.3-70b,code,fr,1.9414008751963585,1.8914079043577057,1.991914402938239
llama3.1-8b,code,de,1.9154017051610233,1.6882017169130135,2.1854472243870067
llama3.3-70b,code,es,1.9020635225482552,1.847342171636057,1.9591272060926819
gpt-oss-20b,commonsense,zh,1.888828544663746,1.8048646720802324,1.9766974261935852
gpt-oss-120b,commonsense,hi,1.878027999088417,1.826018131279355,1.9319283230565834
gpt-oss-20b,commonsense,ar,1.859631730189866,1.7657146303107512,1.9635931853718285
gpt-oss-20b,commonsense,tr,1.8387192035754538,1.7170209831681889,1.9970825376011068
gpt-oss-120b,commonsense,tr,1.8191547618927622,1.770902547388638,1.8692276389916938
llama3.3-70b,math,hi,1.8091450664065805,1.7495876122269425,1.872458905048318
gpt-oss-120b,commonsense,fr,1.808782477357016,1.755508548387615,1.8653128566269184
gpt-oss-120b,commonsense,ar,1.8043876874661329,1.74805252159269,1.8657350895517273
gpt-oss-120b,commonsense,sw,1.801809111884115,1.7504789261194758,1.8555294606079473
gpt-oss-20b,math,sw,1.7392091400593517,1.59207165487044,1.9016411306001637
llama3.3-70b,code,ar,1.7340149197353363,1.681100031350562,1.788609312618041
llama3.1-8b,code,es,1.7068102407660755,1.5231355836266205,1.9197748005528223
gpt-oss-20b,math,es,1.7039177111504213,1.6170888348132577,1.7952665031694879
llama3.3-70b,code,tr,1.699537572841876,1.6400850502810211,1.763849287338555
llama3.1-8b,math,sw,1.6884599115702108,1.3597656196087995,2.0876327826356547
gpt-oss-20b,math,fi,1.6478849246830405,1.5407856847604215,1.7799136124511488
llama3.1-8b,code,fr,1.6440464668318922,1.4538874906433241,1.8518452883831953
llama3.3-70b,code,ko,1.640874461082588,1.5887994547654063,1.6961237064911345
gpt-oss-20b,math,hi,1.6371774562988903,1.554183084960924,1.725727845769899
gpt-oss-20b,math,ko,1.6272393304901922,1.548878678720607,1.7071488592421806
llama3.3-70b,commonsense,hi,1.6195979863766008,1.5809170210297807,1.6614590916644714
gpt-oss-20b,math,ar,1.6100083794436826,1.5355392268224068,1.691372140134905
gpt-oss-20b,math,de,1.5995261562593373,1.5136157603070073,1.690457537500943
gpt-oss-20b,math,fr,1.5909099486229403,1.5076543342417497,1.6882005345638686
llama3.3-70b,code,zh,1.5725757626538905,1.5263653399546626,1.622344693750621
gpt-oss-20b,math,tr,1.5517913353746924,1.448476443605916,1.6652552168200934
gpt-oss-120b,code,hi,1.5250657729851618,1.4430136197785335,1.6094620169932454
gpt-oss-120b,code,fi,1.516086860132464,1.4256180793136612,1.608391102307729
gpt-oss-120b,code,sw,1.5067301445507804,1.4212888196219118,1.596933850858117
gpt-oss-20b,math,zh,1.5045122209185717,1.3999328480423554,1.6141333567920582
gpt-oss-120b,code,tr,1.464516657980219,1.3777908870381705,1.5590970058202356
llama3.1-8b,commonsense,de,1.4525450318352993,1.358505394654185,1.5789438621176977
llama3.3-70b,math,sw,1.4404782657094348,1.398833224128596,1.484916272102629
llama3.1-8b,code,zh,1.4353402944223241,1.2301649022547079,1.6768688219971533
gpt-oss-120b,code,es,1.4082243158119025,1.3222237957230127,1.5015575164482244
llama3.1-8b,math,ko,1.4031475074300803,1.1392576777892234,1.7311809405982888
gpt-oss-120b,code,de,1.394744334892579,1.3206604068098375,1.4741273472118115
