model,task,en,zh,ar,hi,fi,ko,sw,es,tr,de,fr
gpt-oss-120b,code,0.484,0.488,0.55,0.498,0.478,0.492,0.504,0.476,0.486,0.472,0.476
gpt-oss-120b,commonsense,0.976,0.972,0.952,0.97,0.97,0.974,0.976,0.978,0.98,0.972,0.974
gpt-oss-120b,math,0.942,0.938,0.94,0.94,0.954,0.95,0.958,0.94,0.942,0.95,0.95
gpt-oss-20b,code,0.486,0.41,0.472,0.458,0.494,0.426,0.468,0.474,0.456,0.438,0.458
gpt-oss-20b,commonsense,0.978,0.968,0.966,0.956,0.964,0.962,0.96,0.958,0.958,0.972,0.97
gpt-oss-20b,math,0.942,0.924,0.938,0.946,0.93,0.952,0.948,0.948,0.942,0.934,0.942
llama3.1-8b,code,0.386,0.344,0.298,0.302,0.342,0.312,0.244,0.332,0.3,0.294,0.328
llama3.1-8b,commonsense,0.934,0.914,0.818,0.828,0.718,0.798,0.736,0.932,0.822,0.916,0.906
llama3.1-8b,math,0.648,0.554,0.714,0.624,0.522,0.632,0.586,0.6,0.562,0.724,0.772
llama3.3-70b,code,0.994,0.968,0.966,0.942,0.992,0.976,0.954,0.972,0.932,0.994,0.994
llama3.3-70b,commonsense,0.986,0.984,0.99,0.954,0.982,0.982,0.976,0.982,0.984,0.982,0.984
llama3.3-70b,math,0.936,0.916,0.93,0.906,0.926,0.922,0.916,0.894,0.916,0.932,0.932
llama4-scout,code,0.354,0.33,0.356,0.354,0.36,0.406,0.436,0.442,0.42,0.426,0.448
llama4-scout,commonsense,0.774,0.986,0.98,0.98,0.98,0.972,0.986,0.988,0.986,0.984,0.982
llama4-scout,math,0.884,0.928,0.948,0.93,0.822,0.918,0.89,0.648,0.928,0.664,0.912
