model,task,en,zh,ar,hi,fi,ko,sw,es,tr,de,fr
gpt-oss-120b,code,1.0,1.237,1.339,1.525,1.516,1.394,1.507,1.408,1.465,1.395,1.373
gpt-oss-120b,commonsense,1.0,2.009,1.804,1.878,2.125,1.961,1.802,2.088,1.819,1.956,1.809
gpt-oss-120b,math,1.0,1.159,1.26,1.231,1.218,1.286,1.233,1.29,1.243,1.243,1.218
gpt-oss-20b,code,1.0,1.288,1.143,1.24,1.032,1.359,1.303,1.06,1.048,1.233,1.035
gpt-oss-20b,commonsense,1.0,1.889,1.86,2.274,2.162,2.205,2.411,2.277,1.839,1.989,2.07
gpt-oss-20b,math,1.0,1.505,1.61,1.637,1.648,1.627,1.739,1.704,1.552,1.6,1.591
llama3.1-8b,code,1.0,1.435,2.484,2.553,2.122,2.473,4.051,1.707,2.486,1.915,1.644
llama3.1-8b,commonsense,1.0,1.107,2.236,3.177,5.001,3.23,4.238,1.332,2.529,1.453,1.374
llama3.1-8b,math,1.0,1.338,1.227,2.636,2.76,1.403,1.688,1.252,2.72,0.959,1.25
llama3.3-70b,code,1.0,1.573,1.734,2.51,1.987,1.641,2.228,1.902,1.7,1.995,1.941
llama3.3-70b,commonsense,1.0,0.909,0.99,1.62,1.311,0.94,1.198,1.178,0.95,1.307,1.179
llama3.3-70b,math,1.0,1.057,1.157,1.809,1.259,1.145,1.44,1.293,1.121,1.293,1.269
llama4-scout,code,1.0,0.564,0.545,0.635,0.651,0.463,0.481,0.431,0.396,0.423,0.411
llama4-scout,commonsense,1.0,0.71,0.8,0.997,0.77,0.668,0.893,0.853,0.693,0.844,0.88
llama4-scout,math,1.0,0.795,0.971,1.095,1.02,0.839,1.083,1.363,0.803,1.295,0.963
