model,task,language,tokens,rep_rate_3gram,unique_word_ratio
gpt-oss-120b,code,ar,831.328,0.07210996574540578,0.5270054016081643
gpt-oss-120b,code,de,737.042,0.05388298469641848,0.5039799556871606
gpt-oss-120b,code,en,535.524,0.04724942187684003,0.4938463423393
gpt-oss-120b,code,es,751.58,0.07339876252161347,0.44112469324776604
gpt-oss-120b,code,fi,813.23,0.0580467126011051,0.545387689687829
gpt-oss-120b,code,fr,730.082,0.07929715432066853,0.45447949930819415
gpt-oss-120b,code,hi,855.398,0.19666562638169305,0.2275488535414873
gpt-oss-120b,code,ko,769.832,0.04679357177508021,0.5974708240284856
gpt-oss-120b,code,sw,854.038,0.08461727872324186,0.4502402233171993
gpt-oss-120b,code,tr,798.304,0.05824394529948916,0.5332325662184878
gpt-oss-120b,code,zh,671.678,0.03586956523642491,0.5949317044483552
gpt-oss-120b,commonsense,ar,436.47,0.022850837495706596,0.7236779360512776
gpt-oss-120b,commonsense,de,490.296,0.02111762385597559,0.6357418630291285
gpt-oss-120b,commonsense,en,231.29,0.013661020447205784,0.7203518136930095
gpt-oss-120b,commonsense,es,531.168,0.048961634895206385,0.5207403683701636
gpt-oss-120b,commonsense,fi,532.396,0.011923484378698794,0.759220869788909
gpt-oss-120b,commonsense,fr,448.742,0.04599586500275233,0.5536147121620594
gpt-oss-120b,commonsense,hi,462.898,0.17576892808714262,0.2735591084036566
gpt-oss-120b,commonsense,ko,491.918,0.013260678993337808,0.8042133348550093
gpt-oss-120b,commonsense,sw,443.316,0.0582437068453273,0.5481352050605657
gpt-oss-120b,commonsense,tr,452.346,0.018000793514078427,0.7259296781667662
gpt-oss-120b,commonsense,zh,506.206,0.0005698583843369052,0.9444613441327233
gpt-oss-120b,math,ar,380.032,0.059401903930173645,0.5173992951553353
gpt-oss-120b,math,de,379.098,0.046450692785341335,0.5342151942347603
gpt-oss-120b,math,en,298.758,0.04360483613996876,0.5339583366894984
gpt-oss-120b,math,es,391.178,0.06007202288965328,0.482379744765489
gpt-oss-120b,math,fi,367.79,0.032051374168895676,0.577116609735617
gpt-oss-120b,math,fr,369.122,0.06501316210459332,0.5023194594949857
gpt-oss-120b,math,hi,365.754,0.19505176642754676,0.31730132181777054
gpt-oss-120b,math,ko,393.682,0.042293401530070523,0.619922866073815
gpt-oss-120b,math,sw,373.812,0.0730814579189322,0.46112446427463905
gpt-oss-120b,math,tr,371.97,0.04249319532594942,0.5338002971918594
gpt-oss-120b,math,zh,344.56,0.022948198937867138,0.5590521434994613
gpt-oss-20b,code,ar,853.464,0.05569576579527729,0.5786990732849524
gpt-oss-20b,code,de,854.474,0.05343806051381875,0.5307416332571616
gpt-oss-20b,code,en,772.928,0.059809304250776366,0.49304349753529086
gpt-oss-20b,code,es,791.346,0.07655354424042811,0.45512077756979236
gpt-oss-20b,code,fi,799.382,0.05262180676080617,0.593434974073637
gpt-oss-20b,code,fr,742.098,0.07824303378908751,0.47975505993812195
gpt-oss-20b,code,hi,898.116,0.18738061641900938,0.2617214377538826
gpt-oss-20b,code,ko,920.282,0.054631623690956005,0.6035456983303878
gpt-oss-20b,code,sw,967.382,0.08095019791660722,0.47088643748137426
gpt-oss-20b,code,tr,745.78,0.057607093165677234,0.564354754319053
gpt-oss-20b,code,zh,835.532,0.047523752262907656,0.5926623719086994
gpt-oss-20b,commonsense,ar,293.252,0.021314887935750933,0.76869593357943
gpt-oss-20b,commonsense,de,320.864,0.013296975502297557,0.7222150798986925
gpt-oss-20b,commonsense,en,141.468,0.0004400147280384994,0.9808059648514929
gpt-oss-20b,commonsense,es,369.94,0.0414482611113132,0.5681050316570997
gpt-oss-20b,commonsense,fi,346.516,0.012385545972690544,0.8045258808899395
gpt-oss-20b,commonsense,fr,334.554,0.03729099777625678,0.6178826237188491
gpt-oss-20b,commonsense,hi,364.222,0.1464396761166067,0.32649868229448753
gpt-oss-20b,commonsense,ko,357.398,0.013935104735360523,0.8205915015564869
gpt-oss-20b,commonsense,sw,390.838,0.06819548745449593,0.5853388269438032
gpt-oss-20b,commonsense,tr,283.34,0.012658504214854047,0.8173420554012161
gpt-oss-20b,commonsense,zh,301.084,0.0009880069371388945,0.9534012713360964
gpt-oss-20b,math,ar,400.65,0.05049017991444812,0.5509011163465778
gpt-oss-20b,math,de,396.128,0.03870585501478158,0.5568301278254725
gpt-oss-20b,math,en,235.092,0.011320693770127168,0.8200814440488556
gpt-oss-20b,math,es,433.678,0.06422138713965113,0.4842645029637152
gpt-oss-20b,math,fi,403.814,0.031216152438088642,0.5941392529623697
gpt-oss-20b,math,fr,396.576,0.05849376945487428,0.5157711962527335
gpt-oss-20b,math,hi,408.838,0.19849380161720945,0.3188903581745179
gpt-oss-20b,math,ko,412.45,0.03578841423166968,0.6505822486732288
gpt-oss-20b,math,sw,438.53,0.07000446174442553,0.46569119845055096
gpt-oss-20b,math,tr,382.674,0.034494549670360426,0.5614630399517884
gpt-oss-20b,math,zh,365.014,0.020658731592305402,0.5663694985525796
llama3.1-8b,code,ar,674.182,0.23953365854468753,0.4113943354802406
llama3.1-8b,code,de,478.908,0.1710936415088752,0.3997389469017799
llama3.1-8b,code,en,319.354,0.17104290910635317,0.39117440907935586
llama3.1-8b,code,es,485.276,0.2158299559170065,0.36173384568495526
llama3.1-8b,code,fi,641.966,0.18058477892956795,0.4686923640537568
llama3.1-8b,code,fr,454.012,0.20455428966533318,0.38180422140356124
llama3.1-8b,code,hi,684.554,0.37701359444676935,0.24165353472343556
llama3.1-8b,code,ko,712.636,0.21962223082064725,0.4380399662903272
llama3.1-8b,code,sw,928.352,0.29672190964213413,0.3462292527599008
llama3.1-8b,code,tr,688.282,0.2330559972620646,0.42376389066272246
llama3.1-8b,code,zh,411.082,0.11173346778168267,0.5102839127445535
llama3.1-8b,commonsense,ar,571.956,0.23460257847831892,0.4862245464483051
llama3.1-8b,commonsense,de,376.778,0.15356909708347413,0.4787337844336413
llama3.1-8b,commonsense,en,256.95,0.15952965024835783,0.4352246891266793
llama3.1-8b,commonsense,es,344.698,0.19990537886811022,0.4069471237563766
