model,task,en,zh,ar,hi,fi,ko,sw,es,tr,de,fr
gpt-oss-120b,code,1.0,1.254,1.552,1.597,1.519,1.438,1.595,1.403,1.491,1.376,1.363
gpt-oss-120b,commonsense,1.0,2.189,1.887,2.001,2.302,2.127,1.917,2.297,1.956,2.12,1.94
gpt-oss-120b,math,1.0,1.153,1.272,1.224,1.231,1.318,1.251,1.309,1.245,1.269,1.236
gpt-oss-20b,code,1.0,1.081,1.104,1.162,1.034,1.191,1.252,1.024,0.965,1.106,0.96
gpt-oss-20b,commonsense,1.0,2.128,2.073,2.575,2.449,2.526,2.763,2.615,2.003,2.268,2.365
gpt-oss-20b,math,1.0,1.553,1.704,1.739,1.718,1.754,1.865,1.845,1.628,1.685,1.687
llama3.1-8b,code,1.0,1.287,2.111,2.144,2.01,2.231,2.907,1.52,2.155,1.5,1.422
llama3.1-8b,commonsense,1.0,1.015,2.226,3.349,4.829,3.376,4.11,1.341,2.635,1.466,1.341
llama3.1-8b,math,1.0,1.115,1.377,2.912,2.506,1.412,1.56,1.119,2.764,0.992,1.562
llama3.3-70b,code,1.0,1.612,1.793,2.651,2.127,1.711,2.341,2.047,1.706,2.224,2.155
llama3.3-70b,commonsense,1.0,0.757,0.854,1.584,1.235,0.788,1.058,1.118,0.822,1.291,1.117
llama3.3-70b,math,1.0,0.893,1.042,1.898,1.108,1.031,1.37,1.189,1.001,1.261,1.228
llama4-scout,code,1.0,0.494,0.509,0.597,0.626,0.498,0.55,0.505,0.432,0.473,0.484
llama4-scout,commonsense,1.0,0.859,0.959,1.237,0.907,0.778,1.084,1.062,0.822,1.044,1.091
llama4-scout,math,1.0,0.735,0.952,1.076,0.828,0.771,0.986,0.924,0.729,0.892,0.911
