model,task,language,chars,words,tokens,tokens_per_char,tokens_per_word
gpt-oss-120b,code,ar,1911.1,305.66,831.328,0.4333670888203103,2.7837200164116958
gpt-oss-120b,code,de,2092.856,275.624,737.042,0.35608008792493573,2.703462207240093
gpt-oss-120b,code,en,1143.082,159.44,535.524,0.500259908373782,3.6187294713492704
gpt-oss-120b,code,es,2123.39,309.198,751.58,0.3550791726890619,2.434506014687857
gpt-oss-120b,code,fi,1900.756,231.994,813.23,0.4351028831170672,3.5759944673136426
gpt-oss-120b,code,fr,2020.136,294.952,730.082,0.3647237386489107,2.4939024256121307
gpt-oss-120b,code,hi,1932.97,508.084,855.398,0.45041055336038216,1.704868967624448
gpt-oss-120b,code,ko,1275.374,233.394,769.832,0.6177437766079357,3.362086846908074
gpt-oss-120b,code,sw,2007.414,277.52,854.038,0.4319456376721743,3.176920015525786
gpt-oss-120b,code,tr,1933.342,252.324,798.304,0.41766193165122534,3.2063549826759656
gpt-oss-120b,code,zh,971.882,124.17,671.678,0.7035301113399695,5.638156594627221
gpt-oss-120b,commonsense,ar,756.468,125.87,436.47,0.6317722574814095,3.790589849012288
gpt-oss-120b,commonsense,de,1341.664,178.136,490.296,0.3831696261690408,2.8776401247404175
gpt-oss-120b,commonsense,en,473.498,74.352,231.29,1.0738861773004622,5.7548553394845285
gpt-oss-120b,commonsense,es,1366.672,211.584,531.168,0.40354481176860785,2.607517554347079
gpt-oss-120b,commonsense,fi,999.296,119.16,532.396,0.5731244359157692,4.780161106389759
gpt-oss-120b,commonsense,fr,1195.434,186.504,448.742,0.3983030820697754,2.5411136528964997
gpt-oss-120b,commonsense,hi,950.724,316.326,462.898,0.5099144065671606,1.5367788700060971
gpt-oss-120b,commonsense,ko,553.02,122.5,491.918,0.9668876521624128,4.335364382002687
gpt-oss-120b,commonsense,sw,1049.426,157.416,443.316,0.4376072111464041,2.913420541907086
gpt-oss-120b,commonsense,tr,958.32,122.068,452.346,0.5093680013587648,3.993747554840214
gpt-oss-120b,commonsense,zh,339.582,35.134,506.206,1.6366260467170672,15.929880796878445
gpt-oss-120b,math,ar,576.3,98.194,380.032,0.6653247749767737,3.8705942077633813
gpt-oss-120b,math,de,656.722,95.872,379.098,0.5848947735922763,3.9828237950512895
gpt-oss-120b,math,en,399.846,68.464,298.758,0.7549592271180734,4.402744389288035
gpt-oss-120b,math,es,707.442,111.814,391.178,0.5541498882510748,3.4810169413446586
gpt-oss-120b,math,fi,524.822,72.884,367.79,0.7065986267420588,5.063246365492696
gpt-oss-120b,math,fr,614.14,98.486,369.122,0.6124040287570535,3.7703453858010687
gpt-oss-120b,math,hi,510.2,147.438,365.754,0.7221011295329407,2.4971874546946218
gpt-oss-120b,math,ko,397.766,82.974,393.682,0.9944037288063544,4.750775005117158
gpt-oss-120b,math,sw,582.972,95.738,373.812,0.6496790449793184,3.946631859827262
gpt-oss-120b,math,tr,552.234,82.57,371.97,0.6787982674131645,4.511253315778215
gpt-oss-120b,math,zh,294.07,49.826,344.56,1.1804231564764092,7.041664799300005
gpt-oss-20b,code,ar,1463.968,223.112,853.464,0.6417552742948485,4.422468507039799
gpt-oss-20b,code,de,1614.368,218.194,854.474,0.6102764973748328,4.440883542271625
gpt-oss-20b,code,en,969.564,140.436,772.928,0.8990928266407584,16.220641696735445
gpt-oss-20b,code,es,1754.504,260.494,791.346,0.46596228983061855,3.1127449455550105
gpt-oss-20b,code,fi,1296.31,162.204,799.382,0.6695632718963102,5.342088917394347
gpt-oss-20b,code,fr,1648.476,242.444,742.098,0.4783459303792154,3.2520268071410525
gpt-oss-20b,code,hi,1518.732,389.862,898.116,0.6371997115441121,2.4377730660763945
gpt-oss-20b,code,ko,1150.706,205.746,920.282,0.8966024669111673,4.972993125596154
gpt-oss-20b,code,sw,1751.124,239.964,967.382,0.5796977497658893,14.21236538739351
