model,task,en,zh,ar,hi,fi,ko,sw,es,tr,de,fr
gpt-oss-120b,code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-oss-120b,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-oss-120b,math,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-oss-20b,code,0.002,0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.0,0.0,0.0
gpt-oss-20b,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0
gpt-oss-20b,math,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0
llama3.1-8b,code,0.002,0.024,0.062,0.04,0.038,0.078,0.1,0.008,0.074,0.006,0.004
llama3.1-8b,commonsense,0.002,0.004,0.058,0.066,0.188,0.118,0.144,0.006,0.08,0.008,0.01
llama3.1-8b,math,0.022,0.036,0.04,0.122,0.114,0.044,0.044,0.026,0.138,0.012,0.052
llama3.3-70b,code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama3.3-70b,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama3.3-70b,math,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama4-scout,code,0.116,0.016,0.002,0.008,0.022,0.018,0.002,0.0,0.0,0.0,0.0
llama4-scout,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama4-scout,math,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
