Feature,Coefficient
Intercept,6.820852801367941
model_gpt-oss-20b,-0.06688413913634302
model_llama3.1-8b,-0.18716938107081496
model_llama3.3-70b,-0.34696908796921794
model_llama4-scout,-0.3711942887983037
language_de,0.02439999938253356
language_en,-0.25660916547788243
language_es,0.022327258281209753
language_fi,0.10379180583744718
language_fr,0.009720389452949561
language_hi,0.19591494164959658
language_ko,-0.0119579810468174
language_sw,0.1423696023051386
language_tr,-0.028666455808333484
language_zh,-0.10773624683094234
task_commonsense,-0.29364507156371983
task_math,-0.36549647171007543
sigma,0.35423217979727784
